PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
S_Pima-1	0.13174805944265	0.085874447090875	0.127327758738415	-0.160170445972672	0.0101894022344692	-0.000664181879708297	-0.0180176231824647	-0.00169324129715677	-0.00295014537082462	-0.00257208234335272	-0.0118244108584566	-0.00744900259155897
S_Pima-2	0.133944751977238	0.0855972134185701	0.129030162500085	-0.160064056592329	0.00627561317131387	0.00473000506712029	-0.0200248848527627	0.000210627292720532	-0.000444586272880272	0.00173957205999679	-0.0206781932441252	0.00300390139249328
S_Mayan-1	0.135309758213775	0.0828674350223366	0.129198359799444	-0.164811126665676	0.0121303113496702	0.0037930881087864	-0.0283480568473983	0.0067447799516433	-0.0012231741552268	-0.00634173142223756	0.00923506303880664	-0.00294240687100749
S_Mayan-2	0.131948812056183	0.0852321050798008	0.133578855293528	-0.16822442460057	0.0115861900864272	0.00238552984167205	-0.0343949646815594	0.00403212313964592	-0.0012152818211771	-0.00264790035038044	0.00310572374593876	-0.00447371904895405
S_Zapotec-1	0.131192151978548	0.0778919317426037	0.128382207257763	-0.160663664301314	0.008528336425881	0.000208007675737179	-0.0302557173754145	0.00560893367277552	-0.00308247068958205	-0.00451404880401323	0.00564321670494821	-0.00167448264241321
S_Mixe-2	0.13305443792972	0.083962489588238	0.135597062224834	-0.1712698894044	0.0122544677382211	-0.000999817536518844	-0.0337722718030693	0.00223784865943266	-0.00111891215891175	-0.00556007002555351	0.00751179442809378	0.000589883633780048
S_Mixe-3	0.131420605519798	0.0861334840459326	0.135179040526221	-0.172761177780002	0.00841990876918645	0.00325703492367853	-0.0303109835289442	0.00264640049964203	-0.0060983936953617	-0.00422605716014275	0.00482829690344494	8.40876363951068e-05
S_Mixtec-1	0.119934422023934	0.0728581057692159	0.124549020586575	-0.158143461621439	0.00966837834950909	-0.00146696061061032	-0.0291581884057822	0.00747131292028406	-0.00286621450142548	-0.00431229745916693	0.0116542543511095	-0.00283802725974877
S_Mixtec-2	0.0853373328708153	0.0246636013934262	0.0985731905272349	-0.12506810772136	0.00325235183453909	-0.00378796620506405	-0.0200574929635485	0.0120464933386125	0.00510977771357704	-0.000926728057366158	0.00379012775400717	-0.0111163181931382
S_Nahua-1	0.13175174479028	0.0797035331271288	0.13116199319141	-0.164401640289472	0.0106174097975677	0.00185251624477067	-0.0292042412291872	0.00749341613036393	-0.000708550304159151	0.000354076144261805	0.00596566218985728	-0.000112783329249003
S_Nahua-2	0.130006265089647	0.0791237154564529	0.128486409234967	-0.162811325302834	0.0108583189713319	-0.000781642324328504	-0.0267061085302235	0.00377577474323396	-0.0018363353017136	-0.00788480503499808	0.00536984503185122	0.00185945065574133
S_Zapotec-2	0.126066369386805	0.0724380813331765	0.125947092775123	-0.161109638608422	0.00885184131986644	0.00238391116096641	-0.0290108217112115	0.0059493200325882	-0.00336017001258425	-0.0034764401360932	0.000568570568895711	-0.000817708411564956
S_Quechua-3	0.133423346785796	0.0806728261744424	0.130868420259318	-0.166430780619359	0.00822372756904555	0.00250961321787944	-0.0286596387618602	0.00810515255937469	-5.25848538413327e-05	-0.000296209496522162	0.00664519458180315	-0.00196988272259129
S_Quechua-2	0.132453716961464	0.0818286765038804	0.134857645114376	-0.169841001798381	0.00972560083902304	-0.000842398919692066	-0.0338242709642924	0.00531610476223289	-0.00560610227355782	-0.00164173025800238	0.00626838892289689	0.0013418023598615
